Switzerland,214.5,66.6,13.8,18.0,16.6,25.1,35.2,7.1,10.2,0.6
Syrian Arab Republic,377.0,124.6,22.9,23.2,6.0,31.0,69.9,2.1,24.8,1.9
Tajikistan,161.7,54.6,9.9,12.3,10.8,11.7,23.4,0.6,12.0,0.8
Thailand,1625.4,480.0,89.7,183.5,184.7,120.2,209.8,12.2,88.3,3.9
The former Yugoslav Republic of Macedonia,45.9,17.2,2.8,4.3,2.9,2.2,7.0,0.3,2.8,0.2
Timor-Leste,19.7,5.8,1.2,1.7,1.2,1.0,3.1,0.1,1.6,0.1
Togo,142.4,50.5,7.8,8.2,9.2,14.3,18.2,0.6,10.1,0.7
Tonga,1.7,0.5,0.1,0.2,0.1,0.1,0.3,0.0,0.1,0.0
Trinidad and Tobago,35.0,12.0,2.1,2.7,3.3,1.8,7.3,0.4,1.8,0.2
Tunisia,283.9,93.4,16.2,21.2,7.6,42.4,45.4,1.7,14.5,0.9
Turkey,1680.0,574.5,109.7,135.3,39.8,137.2,277.0,17.3,101.5,6.4
Turkmenistan,117.6,38.2,6.8,9.9,12.0,9.6,15.8,0.9,7.5,0.5
Uganda,758.2,332.5,37.8,36.2,53.2,13.9,99.6,3.2,54.3,3.7
Ukraine,1773.8,494.4,61.1,94.0,267.0,537.8,128.8,5.3,59.2,2.1
United Arab Emirates,256.7,80.8,15.5,21.2,7.7,44.7,32.9,3.7,14.8,0.6
United Kingdom,1611.2,454.8,99.4,126.6,105.2,285.9,235.2,24.8,86.5,4.9
United Republic of Tanzania,987.9,393.9,53.7,56.8,75.1,25.6,143.9,4.9,73.5,4.9
United States of America,11679.5,3088.9,504.9,1043.3,851.1,2977.7,1709.3,191.4,426.5,31.3
Uruguay,84.0,27.8,5.0,7.4,4.9,4.9,18.9,0.8,4.7,0.3
Uzbekistan,633.7,211.4,37.4,51.0,53.6,56.1,86.9,3.4,41.5,2.6
Vanuatu,4.3,1.3,0.3,0.4,0.2,0.2,0.8,0.0,0.4,0.0
Venezuela (Bolivarian Republic of),657.5,222.3,47.3,50.3,41.3,35.5,121.6,6.3,39.4,3.6
Viet Nam,1800.9,606.7,125.8,232.1,115.8,134.0,180.9,11.9,125.1,5.8
Yemen,519.2,166.0,32.3,27.6,13.2,41.2,98.6,2.7,35.9,2.4
Zambia,298.0,117.7,16.2,16.4,22.6,7.1,43.5,1.9,22.5,1.5
Zimbabwe,321.3,110.0,17.0,18.3,31.8,28.9,39.1,2.0,21.6,1.4
